References,Qty,Description,Manufacturer,MPN,RS,Manufacturer_1,MPN_2,Manufacturer_3,MPN_4,Manufacturer_5,MPN_6,Manufacturer_7,MPN_8,Digikey,Mouser,RS,Newark,Farnell
,,,,,,,,,,,,,,,,,,
Solenoid (either 2 ms or 7 ms model),1,MHE2-M1SH-3/2G-M7-K-RR,Kiowa,,,Pneumatics,2 ms response + cable,http://www.kiowa.co.uk/422-P00043766/MHE2-M1H-3/2G-M7-K-Festo-Solenoid-valve,,,,,,,,,,
Precision pressure regulator,1,Pneumatics,Festo,LRP-1/4-4,121-5642,,,,,,,,,,,,,
Gauge,1,MAP-40-4-1/8-EN,Kiowa,,,Pneumatics,"0.0 to 4.0 bar, 1/8 inch thread",http://www.kiowa.co.uk/960-P00037210/MAP-40-4-1/8-EN-Festo-Precision-pressure-gauge,,,,,,,,,,
"Push-in (6 mm) to thread (1/4"")",1,Pneumatics,Festo,QSL-1/4-6,121-6191,Pneumatics,6 mm to 1/4 inch,https://uk.rs-online.com/web/p/pneumatic-elbow-threaded-to-tube-adaptors/1216191/,,,,,,,,,,
"Push-in (4 mm) to thread (1/4"")",1,Pneumatics,Festo,QS-1/4-4,121-6213,Pneumatics,4 mm to 1/4 inch,https://uk.rs-online.com/web/p/pneumatic-straight-threaded-to-tube-adaptors/1216213/,,,,,,,,,,
Push-in (4 mm) to thread (M7),2,,Festo,QSM-M7-4-I,121-6042,Pneumatics,4 mm to M7 thread,https://uk.rs-online.com/web/p/pneumatic-straight-threaded-to-tube-adaptors/1216042/,,,,,,,,,,
4mm OD plastic tubing,12 cm,,RS,PUN-4x0.75,,Pneumatics,4 mm OD and 10 bar,https://uk.rs-online.com/web/p/air-hose/1216280/,,,,,,,,,,
PicoNozzle Kit,1,5430 - x,WPI,,,Pneumatics,for 1.0 / 1.2 / 1.5 / 2.0 mm glass pipettes,https://www.wpi-europe.com/products/pumps-and-microinjection/pressure-injection.aspx,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
